48, 1, 333925, 78
48, 2, 399987, 78
48, 3, 383301, 78
48, 4, 338834, 78
48, 5, 355680, 78
48, 6, 345273, 78
48, 7, 348943, 78
48, 8, 390506, 78
48, 9, 335173, 78
48, 10, 274054, 78
96, 1, 977622, 158
96, 2, 955014, 158
96, 3, 936371, 158
96, 4, 968497, 158
96, 5, 1067472, 158
96, 6, 1093031, 158
96, 7, 864109, 158
96, 8, 852913, 158
96, 9, 876268, 158
96, 10, 887697, 158
144, 1, 1827145, 238
144, 2, 1974977, 238
144, 3, 2073328, 238
144, 4, 2017863, 238
144, 5, 1828930, 238
144, 6, 2100477, 238
144, 7, 1829813, 238
144, 8, 2343760, 238
144, 9, 1703874, 238
